name,population,latitude,longitude,maxnoise
Woodlands South,35840,1.4252493,103.7710242,71.17953695162959
Woodlands West,32890,1.436897,103.786216,72.52547788093506
Yishun,201970,1.428136,103.8336942,81.75849538032668
Khatib,10850,1.4173597,103.8330179,83.20226010045295
Lower Seletar,2870,1.411265,103.852135855657,89.11001673035395
Nee Soon,900,1.40961385,103.814648830065,78.5921313938402
Northland,30380,1.43571045,103.840719473428,81.78357801381917
Springleaf,3880,1.398315,103.818057261069,79.32090440796271
Yishun Central,1490,1.4304311,103.835527,81.7088300618736
Yishun East,54880,1.428136,103.8336942,81.75849538032668
Yishun South,38840,1.428136,103.8336942,81.75849538032668
